Dates,Xerox,Stationary,Groceries,Food,Petrol,Medicine,Haircut,Vodafone,Misc,Taxi,Total
1-Apr,0,0,0,0,0,0,0,0,25,0,67
3-Apr,0,115,40,0,0,0,0,0,850,0,150
6-Apr,67,0,35,0,0,0,0,0,0,0,425
7-Apr,0,0,40,70,0,0,0,0,0,0,1325
9-Apr,0,0,0,826,0,0,0,0,0,0,0
10-Apr,0,0,0,210,0,0,0,0,0,0,242
13-Apr,0,0,0,30,0,0,0,0,0,0,170
14-Apr,0,0,0,109,0,0,0,0,0,0,352.82
15-Apr,0,0,90,0,0,0,0,0,0,0,1004
16-Apr,0,0,150,0,0,0,0,352.82,0,0,0
17-Apr,0,35,0,55,0,42,0,0,0,0,0
19-Apr,0,0,30,25,0,0,0,0,0,0,0
22-Apr,0,0,0,0,0,150,0,0,0,0,0
24-Apr,0,0,40,0,0,50,0,0,0,0,0
28-Apr,0,0,0,0,0,0,170,0,0,0,0
29-Apr,0,0,0,0,0,0,0,0,129,0,0
