Dates,Xerox,Stationary,Groceries,Food,Petrol,Medicine,Haircut,Vodafone,Misc,Taxi,Total
1-Jan,0,0,67,0,281.32,0,0,0,0,0,106
2-Jan,0,0,0,20,0,0,0,0,0,0,68
3-Jan,0,0,0,48,0,95,0,0,35,0,3763
4-Jan,0,10,0,35,0,0,0,0,0,0,2638
5-Jan,0,0,0,0,0,19,0,0,0,0,1583.15
6-Jan,18,0,30,30,0,0,0,0,0,0,3787
7-Jan,0,0,138,175,0,0,150,0,0,400,150
8-Jan,0,0,180,0,0,0,0,0,0,0,706.82
9-Jan,0,10,0,248,0,0,0,0,0,0,189.5
11-Jan,0,0,10,50,0,0,0,0,0,0,400
12-Jan,0,10,0,10,0,0,0,0,0,0,
14-Jan,0,0,40,420,981.83,3659,0,0,0,0,
15-Jan,0,0,84,0,0,0,0,0,0,0,
16-Jan,0,30,0,245,0,0,0,0,0,0,
17-Jan,40,0,0,0,0,0,0,0,0,0,
18-Jan,0,0,0,50,0,0,0,706.82,0,0,
19-Jan,0,0,44,0,0,0,0,0,147.5,0,
20-Jan,0,0,90,40,0,0,0,0,0,0,
21-Jan,0,0,180,700,0,0,0,0,0,0,
22-Jan,0,0,2800,40,0,0,0,0,0,0,
23-Jan,0,0,0,45,320,14,0,0,0,0,
25-Jan,0,0,0,45,0,0,0,0,0,0,
26-Jan,0,0,0,12,0,0,0,0,0,0,
27-Jan,0,0,0,355,0,0,0,0,0,0,
28-Jan,0,0,0,0,0,0,0,0,7,0,
29-Jan,0,0,30,18,0,0,0,0,0,0,
31-Jan,48,8,70,52,0,0,0,0,0,0,
