Dates,Xerox,Stationary,Groceries,Food,Petrol,Medicine,Haircut,Vodafone,Misc,Total
2-Feb,0,20,0,0,0,0,0,0,0,90
4-Feb,20,0,3,0,0,0,0,0,0,80
6-Feb,0,0,0,0,0,0,0,0,0,353
7-Feb,0,0,0,0,0,0,0,0,0,1492
8-Feb,15,0,100,70,0,0,0,0,0,790.5
9-Feb,20,0,45,0,0,0,0,0,0,263
10-Feb,0,0,0,0,0,0,0,0,100,170
13-Feb,20,0,0,0,0,0,0,0,0,352.82
14-Feb,0,0,30,30,0,0,0,0,0,170
17-Feb,0,20,0,0,0,0,0,352.82,0,0
19-Feb,0,0,0,1047,500,0,170,0,0,0
20-Feb,15,0,0,0,0,0,0,0,0,0
21-Feb,0,40,0,0,0,0,0,0,0,0
22-Feb,0,0,0,20,0,263,0,0,0,0
23-Feb,0,0,20,0,0,0,0,0,0,0
24-Feb,0,0,40,0,290.5,0,0,0,0,0
25-Feb,0,0,0,25,0,0,0,0,0,0
26-Feb,0,0,30,300,0,0,0,0,70,0
27-Feb,0,0,70,0,0,0,0,0,0,0
28-Feb,0,0,15,0,0,0,0,0,0,0
