Dates,Xerox,Stationary,Groceries,Food,Petrol,Medicine,Haircut,Vodafone,Misc,Taxi,Total
1-Mar,0,0,150,115,0,307,0,0,0,0,10
2-Mar,10,0,0,49,0,0,0,0,0,0,80
5-Mar,0,0,50,0,0,0,0,0,0,0,1499
8-Mar,0,0,30,0,0,0,0,0,0,0,954
9-Mar,0,0,199,0,0,0,0,0,0,0,1601.13
10-Mar,0,0,170,70,0,0,0,0,0,0,307
11-Mar,0,0,0,0,0,0,0,0,0,105,0
15-Mar,0,80,40,120,967,0,0,0,0,0,762
17-Mar,0,0,0,0,324.13,0,0,762,0,0,469
18-Mar,0,0,30,600,0,0,0,0,0,0,105
19-Mar,0,0,550,0,0,0,0,0,120,0,0
20-Mar,0,0,30,0,0,0,0,0,349,0,0
29-Mar,0,0,250,0,310,0,0,0,0,0,0
