Dates,Xerox,Stationary,Groceries,Food,Petrol,Medicine,Haircut,Vodafone,Misc,Taxi,Total
3-May,0,0,0,140,0,0,0,0,8608,0,70
4-May,0,0,106.75,0,0,0,0,0,0,0,1290
6-May,0,0,0,150,0,0,0,0,0,0,2505.75
7-May,0,0,80,0,0,0,0,0,0,0,837.6
8-May,0,0,34,0,0,0,0,0,0,0,2133.33
9-May,0,0,0,0,0,145,0,0,0,0,145
12-May,0,0,0,0,373.1,0,0,0,0,0,0
14-May,0,0,0,40,0,0,0,0,0,0,398.34
16-May,0,0,30,0,0,0,0,0,0,0,16167
17-May,0,0,0,30,0,0,0,0,0,0,0
19-May,0,0,20,110,1423.87,0,0,45.52,344,0,
21-May,0,0,1850,0,0,0,0,352.82,0,0,
23-May,70,0,100,70,0,0,0,0,0,0,
24-May,0,0,185,45,0,0,0,0,0,0,
25-May,0,0,100,30,336.36,0,0,0,0,0,
29-May,0,1290,0,222.6,0,0,0,0,6596,0,
31-May,0,0,0,670,0,0,0,0,619,0,
